2017-05-08 21:38:22+00:00,g2.2xlarge,Windows,us-east-1e,0.3251
2017-05-08 21:38:22+00:00,g2.2xlarge,Windows,us-east-1b,0.1315
2017-05-08 21:38:22+00:00,x1.32xlarge,SUSE Linux,us-east-1c,3.842
2017-05-08 21:38:22+00:00,x1.32xlarge,SUSE Linux,us-east-1a,3.7733
2017-05-08 21:38:22+00:00,x1.32xlarge,Linux/UNIX,us-east-1c,3.742
2017-05-08 21:38:22+00:00,x1.32xlarge,Linux/UNIX,us-east-1a,3.6733
2017-05-08 21:38:20+00:00,r3.xlarge,SUSE Linux,us-east-1e,0.2527
2017-05-08 21:38:20+00:00,r3.xlarge,Linux/UNIX,us-east-1e,0.1527
2017-05-08 21:38:18+00:00,i2.xlarge,SUSE Linux,us-east-1d,0.1989
2017-05-08 21:38:18+00:00,i2.xlarge,Linux/UNIX,us-east-1d,0.0989
2017-05-08 21:38:18+00:00,g2.2xlarge,SUSE Linux,us-east-1b,0.3044
2017-05-08 21:38:18+00:00,g2.2xlarge,Linux/UNIX,us-east-1b,0.2044
2017-05-08 21:38:17+00:00,r4.2xlarge,SUSE Linux,us-east-1a,0.1646
2017-05-08 21:38:17+00:00,r4.2xlarge,Linux/UNIX,us-east-1a,0.0646
2017-05-08 21:38:15+00:00,m4.xlarge,SUSE Linux,us-east-1e,0.1679
2017-05-08 21:38:15+00:00,m4.xlarge,Linux/UNIX,us-east-1e,0.0679
2017-05-08 21:38:15+00:00,m3.medium,SUSE Linux,us-east-1c,0.1124
2017-05-08 21:38:15+00:00,m3.medium,Linux/UNIX,us-east-1c,0.0124
2017-05-08 21:38:14+00:00,x1.16xlarge,SUSE Linux,us-east-1c,1.9661
2017-05-08 21:38:14+00:00,x1.16xlarge,Linux/UNIX,us-east-1c,1.8661
2017-05-08 21:38:14+00:00,x1.32xlarge,Windows,us-east-1c,7.4422
2017-05-08 21:38:14+00:00,x1.32xlarge,Windows,us-east-1a,7.5962
2017-05-08 21:38:14+00:00,r3.large,Windows,us-east-1a,0.0995
2017-05-08 21:38:13+00:00,i2.8xlarge,SUSE Linux,us-east-1b,2.2472
2017-05-08 21:38:13+00:00,i2.8xlarge,Linux/UNIX,us-east-1b,2.1472
2017-05-08 21:38:13+00:00,m3.2xlarge,Windows,us-east-1b,0.289
2017-05-08 21:38:13+00:00,m4.4xlarge,SUSE Linux,us-east-1d,0.3784
2017-05-08 21:38:13+00:00,m4.4xlarge,Linux/UNIX,us-east-1d,0.2784
2017-05-08 21:38:12+00:00,m4.10xlarge,Windows,us-east-1c,1.8758
2017-05-08 21:38:12+00:00,r3.8xlarge,Windows,us-east-1c,0.9585
2017-05-08 21:38:12+00:00,r3.8xlarge,Windows,us-east-1b,0.9588
2017-05-08 21:38:12+00:00,r3.2xlarge,Windows,us-east-1d,0.3928
2017-05-08 21:38:12+00:00,cc2.8xlarge,Windows,us-east-1d,0.8418
2017-05-08 21:38:11+00:00,c4.xlarge,SUSE Linux,us-east-1c,0.1516
2017-05-08 21:38:11+00:00,c4.xlarge,Linux/UNIX,us-east-1c,0.0516
2017-05-08 21:38:11+00:00,m4.16xlarge,SUSE Linux,us-east-1c,0.9482
2017-05-08 21:38:11+00:00,m4.16xlarge,Linux/UNIX,us-east-1c,0.8482
2017-05-08 21:38:11+00:00,m4.4xlarge,SUSE Linux,us-east-1d,0.3781
2017-05-08 21:38:11+00:00,m4.4xlarge,Linux/UNIX,us-east-1d,0.2781
2017-05-08 21:38:10+00:00,m3.2xlarge,SUSE Linux,us-east-1d,0.2226
2017-05-08 21:38:10+00:00,m3.2xlarge,Linux/UNIX,us-east-1d,0.1226
2017-05-08 21:38:10+00:00,c4.4xlarge,SUSE Linux,us-east-1b,0.3061
2017-05-08 21:38:10+00:00,c4.4xlarge,Linux/UNIX,us-east-1b,0.2061
2017-05-08 21:38:10+00:00,c3.8xlarge,SUSE Linux,us-east-1d,0.5454
2017-05-08 21:38:10+00:00,c3.8xlarge,SUSE Linux,us-east-1c,0.542
2017-05-08 21:38:10+00:00,c3.8xlarge,Linux/UNIX,us-east-1d,0.4454
2017-05-08 21:38:10+00:00,c3.8xlarge,Linux/UNIX,us-east-1c,0.442
